,title,location,sector,hours,worktype,link,from_date,to_date
0,WPB IT Audit Manager,"Mumbai, India",Audit,Permanent - Full Time,Office Working,https://mycareer.hsbc.com/en_GB/external/PipelineDetail/WPB-IT-Audit-Manager/162605,21-Sep-2022,04-Oct-2022
1,Analyst,"Mumbai, India","Investment Banking, Markets and Research",Permanent - Full Time,Office Working,https://mycareer.hsbc.com/en_GB/external/PipelineDetail/Analyst/162719,21-Sep-2022,05-Oct-2022
2,CSEM Analyst,"Azcapotzalco, Mexico",Operations,Permanent - Full Time,Hybrid Working,https://mycareer.hsbc.com/en_GB/external/PipelineDetail/CSEM-Analyst/162614,21-Sep-2022,05-Oct-2022
3,Trainee Software Engineer/Wealth & Personal Banking IT,"Pune, India",Technology,Permanent - Full Time,Office Working,https://mycareer.hsbc.com/en_GB/external/PipelineDetail/Trainee-Software-Engineer-Wealth-Personal-Banking-IT/162623,21-Sep-2022,31-Dec-2025
4,Lead Consultant Specialist,"Guangzhou, Mainland China",Technology,Fixed Term - Full Time,Office Working,https://mycareer.hsbc.com/en_GB/external/PipelineDetail/Lead-Consultant-Specialist/162634,21-Sep-2022,31-Dec-2025
5,Customer Services Consultant - Basingstoke,"Basingstoke, United Kingdom",Branch and Retail Banking,Permanent - Full Time,Office Working,https://mycareer.hsbc.com/en_GB/external/PipelineDetail/Customer-Services-Consultant-Basingstoke/162654,21-Sep-2022,05-Oct-2022
6,Mobile Engineering Lead,"London, United Kingdom",Technology,Permanent - Full Time,Hybrid Working,https://mycareer.hsbc.com/en_GB/external/PipelineDetail/Mobile-Engineering-Lead/162666,21-Sep-2022,05-Oct-2022
7,Software Engineer/Wealth & Personal Banking IT,"Pune, India",Technology,Permanent - Full Time,Office Working,https://mycareer.hsbc.com/en_GB/external/PipelineDetail/Software-Engineer-Wealth-Personal-Banking-IT/162694,21-Sep-2022,05-Oct-2022
8,Trainee Software Engineer/Wealth & Personal Banking IT,"Pune, India",Technology,Permanent - Full Time,Office Working,https://mycareer.hsbc.com/en_GB/external/PipelineDetail/Trainee-Software-Engineer-Wealth-Personal-Banking-IT/162625,21-Sep-2022,31-Dec-2025
9,"Analyst, Client Management, Client Operations - Wholesale","Central, Hong Kong",Commercial Banking,Permanent - Full Time,Hybrid Working,https://mycareer.hsbc.com/en_GB/external/PipelineDetail/Analyst-Client-Management-Client-Operations-Wholesale/162638,21-Sep-2022,05-Oct-2022
10,Consultant Specialist/Group Data Technology,"Pune, India",Technology,Permanent - Full Time,Office Working,https://mycareer.hsbc.com/en_GB/external/PipelineDetail/Consultant-Specialist-Group-Data-Technology/162658,21-Sep-2022,21-Oct-2022
